Place,country,start_date,end_date
Beijing,China,08/01/2026,10/01/2026
Gubeikou,China,10/01/2026,12/01/2026
Beijing,China,12/01/2026,13/01/2026
Pingyao,China,13/01/2026,14/01/2026
Xian,China,14/01/2026,18/01/2026
Chengdu,China,18/01/2026,24/01/2026
Lijiang,China,24/01/2026,26/01/2026
Tiger Leaping Gorge,China,26/01/2026,27/01/2026
Lijiang,China,27/01/2026,29/01/2026
Xaxi,China,29/01/2026,31/01/2026
Dali,China,31/01/2026,01/02/2026
Chongqing,China,01/02/2026,03/02/2026
Shanghai,China,03/02/2026,07/02/2026
